Feature1, Feature2, Correlation, P-Value
tot_time_spent,Sum-Of-Interior-Angles-more-than-3-Sides,0.08346748061835971, 0.011682018815649895
tot_time_spent,Sum-of-Interior-Angles-Triangle,-0.0722519271676064, 0.029122826723414444
tot_time_spent,Supplementary-Angles,0.021725098980467525, 0.5122996411181662
tot_time_spent,Surface-Area-and-Volume,-0.009362038545573425, 0.7776783726613121
tot_time_spent,Symbolization-Articulation,-0.045595104997016106, 0.1688931452134743
tot_time_spent,Transformations/Rotations,0.015649368415628712, 0.63694013452228
tot_time_spent,Transversals,0.03665604950477077, 0.2687949740455379
tot_time_spent,Triangle-Inequality,-0.02222874362183618, 0.5025674574668736
tot_time_spent,Unit-Conversion,0.06159291202291686, 0.06298751560525971
tot_time_spent,Venn-Diagram,0.1328636759335486, 5.703634882177297e-05
num students,tot_time_spent,0.712886047604363, 2.137865876902003e-142
num students,average time to solve,0.014763732578757963, 0.6561262833115397
num students,num_success,0.8389532132561943, 1.0995392438571167e-242
num students,num_failed,0.6621626976604832, 3.708025633086464e-116
num students,question_length,-0.010936796882618432, 0.741520174032361
num students,person_name_count,-0.01329150260170876, 0.6885218914031737
num students,conjunction_phrase_count,-0.0009620824523840507, 0.9768530960590919
num students,preposition_phrase_count,-0.0622158529583872, 0.06036469610419869
num students,math_symbols_count,-0.016389027328585513, 0.6210998526579827
num students,success_rate,-0.07330795997464698, 0.026842897687615462
num students,Adding-Decimals,0.08496355310752764, 0.010259241645816382
num students,Addition,0.026448725618605094, 0.42499926616945755
num students,Algebraic-Manipulation,-0.012524417008156999, 0.7056347598889721
num students,Area,0.07152355835815485, 0.030790612852879602
num students,Area-Concept,0.04061670196366133, 0.2204166624868025
num students,Area-of-Circle,-0.013944011088853884, 0.6740889582593755
num students,Circle-Graph,-0.018213759058393883, 0.5827758083330714
num students,Circumference,-0.03632667026155923, 0.27312318178923145
num students,Combinatorics,-0.019221377502440053, 0.5620964918663097
num students,Comparing-Fractions,0.022617441430018058, 0.4951237156237049
num students,Compounding_Interest,-0.013274664234775864, 0.6888958725084185
num students,Congruence,0.007092876290118278, 0.8306179544331406
num students,Conversion-of-fractions-decimals-percents,-0.031056019118628302, 0.3488558340158358
num students,Discount,0.01178327957273139, 0.7223112673675406
num students,Divide-Decimals,-0.01983193934700728, 0.5497406070530417
num students,Divisibility,0.07003698861280817, 0.03444979503881189
num students,Division,0.006692207681357403, 0.8400532834712344
num students,Equation-Concept,0.039597176057692404, 0.2322288854735602
num students,Equation-Solving,-0.01481409974402309, 0.65502889376599
num students,Equivalent-Fractions-Decimals-Percents,-0.01877522450622239, 0.571209141684868
num students,Evaluating-Functions,-0.0061969848221887155, 0.8517469059138499
num students,Exponents,-0.03903633358285193, 0.23891482244364862
num students,Finding-Percents,0.04418417786255019, 0.18248127455376514
num students,Fraction-Decimals-Percents,-0.04976493824095431, 0.13316489840847223
num students,Fraction-Division,0.0061439885246435625, 0.8530002767082446
num students,Fraction-Multiplication,0.0426348347184313, 0.19831645302018575
num students,Fractions,0.015913232684200238, 0.6312697824572414
num students,Increasing_Percent_Sales_Tax,-0.03101732972629849, 0.3494568875384445
num students,Inducing-Functions,-0.09236934034198645, 0.005244211369699569
num students,Integers,0.1522042849906757, 3.89158319259885e-06
num students,Interpreting-Linear-Equations,-0.0665448725005745, 0.044528418320152696
num students,Interpreting-Numberline,-0.0005586230930625415, 0.9865587449503369
num students,Isosceles-Triangle,0.02676091733256443, 0.4195523227902404
num students,Knowing_English_and_Metric_Terms,-0.022686618595280827, 0.4938051323015904
num students,Least-Common-Multiple,-0.036707805578700556, 0.2681191716566242
num students,Linear-Area-Volume-Conversion,-0.06320182200205837, 0.056398558554467154
num students,Making-Sense-of-Expressions-and-Equations,-0.022960596866162194, 0.48860132633509273
num students,Mean,-0.01915163776590717, 0.5635162874304596
num students,Meaning-of-PI,0.008007024148954968, 0.8091838406123428
num students,Measurement,-0.040220347333994454, 0.22495665938963785
num students,Median,0.07494614179239742, 0.023610820866600837
num students,Multiplication,0.021119853415588256, 0.524123607029593
num students,Multiplying-Decimals,0.058171077859253545, 0.07912159550257747
num students,Multiplying-Positive-Negative-Numbers,-0.005883755251676715, 0.85916015450277
num students,Number-Line,0.04834983347825647, 0.14456958355172664
num students,Of-Means-Multiply,-0.0010774145505945947, 0.9740792242524725
num students,Ordering-Fractions,0.02738492244309101, 0.4087886543227465
num students,Ordering-Numbers,0.01131381421316155, 0.7329439719684414
num students,Order-of-Operations,-0.03054634618524355, 0.3568263458020012
num students,Pattern-Finding,-0.043091092476719946, 0.19355242810482554
num students,Percent-Of,0.032663118433409154, 0.3244695531546375
num students,Percents,-0.0525869119996384, 0.11251036990749562
num students,Perimeter,0.10219376143431819, 0.002001265060316449
num students,Point-Plotting,0.0450881064631441, 0.1736858540051931
num students,Prime-Number,-0.0002393416965568093, 0.9942408810809856
num students,Probability,0.06670196074679889, 0.044026809468888636
num students,Properties-of-Geometric-Figures,0.024331153074052238, 0.463018456738976
num students,Properties-of-Solids,-0.0034224131870479162, 0.9177937913269699
num students,Proportion,-0.01482366923619748, 0.6548204795940317
num students,Pythagorean-theorem,0.01988171358083566, 0.5487392523718999
num students,Range,-0.03541986002722231, 0.2852839436094504
num students,Rate,0.022010289215952113, 0.5067767431333248
num students,Rate-with-Distance-and-Time,-0.05315429922261718, 0.10867939965296872
num students,Reading-graph,0.015781723822154026, 0.6340931818952926
num students,Reciprocal,0.004108438894195928, 0.9013924779986388
num students,Reduce-Fraction,-0.055801184500209294, 0.09215075279387644
num students,Rounding,-0.02351079734299266, 0.478240851225621
num students,Scale,-0.04060163279486188, 0.22058806173725554
num students,Scientific-Notation,0.059934140975218875, 0.07043305944851701
num students,Similar-Triangles,-0.05512697741673879, 0.09615634981363785
num students,Slope,0.0967153455475869, 0.003460204721048963
num students,Square-Root,0.05998736527679571, 0.07018343246371246
num students,Statistics,-0.019336879292420596, 0.5597488523261326
num students,Stem-and-Leaf-Plot,0.04857445752506185, 0.14271098629241333
num students,Substitution,-0.030006956334021423, 0.36538528355729905
num students,Subtracting-Decimals,0.0012985857063913878, 0.9687607035235075
num students,Subtraction,-0.039591878465943066, 0.2322914127062092
num students,Sum-Of-Interior-Angles-more-than-3-Sides,-0.022487621959033213, 0.4976032596466158
num students,Sum-of-Interior-Angles-Triangle,-0.09114981799412519, 0.0058759453309825465
num students,Supplementary-Angles,0.047676091952071495, 0.15025541343873275
num students,Surface-Area-and-Volume,-0.008474641635496504, 0.7982735000546214
num students,Symbolization-Articulation,-0.08851137186553995, 0.007482522246694155
num students,Transformations/Rotations,0.02727645498697083, 0.4106477709661468
num students,Transversals,0.02409113803175632, 0.467444021788493
num students,Triangle-Inequality,0.014626045272581841, 0.6591299637361704
num students,Unit-Conversion,-0.033569149523995284, 0.31122204827623023
num students,Venn-Diagram,0.056292748356642275, 0.08931549738369984
average time to solve,tot_time_spent,0.5763688949943997, 7.489274268836539e-82
average time to solve,num students,0.014763732578757963, 0.6561262833115397
average time to solve,num_success,-0.08038833711776681, 0.015170798723681642
average time to solve,num_failed,0.13752497046262405, 3.082520489583567e-05
average time to solve,question_length,0.3531051164499608, 3.6000181464845723e-28
average time to solve,person_name_count,0.09615885516764831, 0.003652760650970744
average time to solve,conjunction_phrase_count,0.08738808170990157, 0.008278485155396342
average time to solve,preposition_phrase_count,0.3625105240764326, 1.0465249958672116e-29
average time to solve,math_symbols_count,-0.0004473580909073703, 0.9892357546173483
